breed,correct_predictions,test_predictions,total_images,total_in_test,total_correct
Affenpinscher,0,1,6,2,"(6, 0)"
Afghan Hound,0,1,6,2,"(6, 0)"
Airedale Terrier,1,2,6,2,"(6, 1)"
Akita,0,0,5,2,"(5, 0)"
Alaskan Malamute,0,2,6,2,"(6, 0)"
American English Coonhound,1,4,6,2,"(6, 1)"
American Eskimo Dog,0,2,6,2,"(6, 0)"
American Foxhound,0,1,7,2,"(7, 0)"
American Hairless Terrier,0,0,7,2,"(7, 0)"
American Leopard Hound,0,2,6,2,"(6, 0)"
American Staffordshire Terrier,0,1,5,2,"(5, 0)"
American Water Spaniel,0,4,9,3,"(9, 0)"
Anatolian Shepherd Dog,1,4,7,2,"(7, 1)"
Appenzeller Sennenhunde,0,6,6,2,"(6, 0)"
Australian Cattle Dog,0,5,6,2,"(6, 0)"
Australian Shepherd,0,1,6,2,"(6, 0)"
Australian Terrier,0,0,5,2,"(5, 0)"
Azawakh,2,5,8,3,"(8, 2)"
Barbet,0,1,5,2,"(5, 0)"
Basenji,0,0,6,2,"(6, 0)"
Basset Fauve de Bretagne,0,2,8,3,"(8, 0)"
Basset Hound,0,2,6,2,"(6, 0)"
Beagle,0,3,6,2,"(6, 0)"
Bearded Collie,0,5,7,2,"(7, 0)"
Beauceron,0,3,6,2,"(6, 0)"
Bedlington Terrier,0,4,7,2,"(7, 0)"
Belgian Laekenois,0,6,9,3,"(9, 0)"
Belgian Malinois,1,2,6,2,"(6, 1)"
Belgian Sheepdog,0,2,8,3,"(8, 0)"
Belgian Tervuren,0,2,8,3,"(8, 0)"
Bergamasco,0,3,6,2,"(6, 0)"
Berger Picard,0,1,4,1,"(4, 0)"
Bernese Mountain Dog,1,8,7,2,"(7, 1)"
Bichon Frise,0,5,8,3,"(8, 0)"
Biewer Terrier,0,2,6,2,"(6, 0)"
Black Russian Terrier,0,1,5,2,"(5, 0)"
Black and Tan Coonhound,1,3,6,2,"(6, 1)"
Bloodhound,0,2,6,2,"(6, 0)"
Bluetick Coonhound,0,0,6,2,"(6, 0)"
Boerboel,0,1,6,2,"(6, 0)"
Bolognese,0,2,6,2,"(6, 0)"
Border Collie,0,0,5,2,"(5, 0)"
Border Terrier,0,1,5,2,"(5, 0)"
Borzoi,0,0,6,2,"(6, 0)"
Boston Terrier,0,0,6,2,"(6, 0)"
Bouvier des Flandres,0,0,5,2,"(5, 0)"
Boxer,0,0,6,2,"(6, 0)"
Boykin Spaniel,0,2,6,2,"(6, 0)"
Bracco Italiano,0,4,6,2,"(6, 0)"
Braque du Bourbonnais,0,0,6,2,"(6, 0)"
Briard,0,0,7,2,"(7, 0)"
Brittany,0,1,6,2,"(6, 0)"
Broholmer,0,3,6,2,"(6, 0)"
Brussels Griffon,0,0,6,2,"(6, 0)"
Bull Terrier,0,1,6,2,"(6, 0)"
Bulldog,0,5,6,2,"(6, 0)"
Bullmastiff,0,1,7,2,"(7, 0)"
Cairn Terrier,0,2,5,2,"(5, 0)"
Canaan Dog,0,0,6,2,"(6, 0)"
Cane Corso,0,1,6,2,"(6, 0)"
Cardigan Welsh Corgi,0,0,6,2,"(6, 0)"
Catahoula Leopard Dog,0,2,6,2,"(6, 0)"
Caucasian Ovcharka,0,2,6,2,"(6, 0)"
Cavalier King Charles Spaniel,0,7,7,2,"(7, 0)"
Central Asian Shepherd Dog,0,0,6,2,"(6, 0)"
Cesky Terrier,0,3,6,2,"(6, 0)"
Chesapeake Bay Retriever,0,2,5,2,"(5, 0)"
Chihuahua,0,1,6,2,"(6, 0)"
Chinese Crested,0,2,6,2,"(6, 0)"
Chinese Shar-Pei,0,4,7,2,"(7, 0)"
Chinook,0,1,6,2,"(6, 0)"
Chow Chow,0,4,6,2,"(6, 0)"
Clumber Spaniel,0,5,7,2,"(7, 0)"
Cocker Spaniel,0,0,5,2,"(5, 0)"
Collie,0,2,6,2,"(6, 0)"
Coton de Tulear,0,3,6,2,"(6, 0)"
Curly-Coated Retriever,0,5,6,2,"(6, 0)"
Czechoslovakian Vlcak,0,1,7,2,"(7, 0)"
Dachshund,0,3,5,2,"(5, 0)"
Dalmatian,0,3,5,2,"(5, 0)"
Dandie Dinmont Terrier,0,2,6,2,"(6, 0)"
Danish-Swedish Farmdog,0,2,5,2,"(5, 0)"
Deutscher Wachtelhund,0,1,6,2,"(6, 0)"
Doberman Pinscher,0,0,5,2,"(5, 0)"
Dogo Argentino,0,0,6,2,"(6, 0)"
Dogue de Bordeaux,0,0,5,2,"(5, 0)"
Drentsche Patrijshond,0,2,6,2,"(6, 0)"
Drever,0,1,6,2,"(6, 0)"
Dutch Shepherd,0,3,6,2,"(6, 0)"
English Cocker Spaniel,0,4,4,1,"(4, 0)"
English Foxhound,0,1,5,2,"(5, 0)"
English Setter,0,5,6,2,"(6, 0)"
English Springer Spaniel,0,0,6,2,"(6, 0)"
English Toy Spaniel,0,0,5,2,"(5, 0)"
Entlebucher Mountain Dog,0,1,7,2,"(7, 0)"
Estrela Mountain Dog,0,0,4,1,"(4, 0)"
Eurasier,0,0,5,2,"(5, 0)"
Field Spaniel,0,3,7,2,"(7, 0)"
Finnish Lapphund,0,0,5,2,"(5, 0)"
Finnish Spitz,0,2,6,2,"(6, 0)"
Flat-Coated Retriever,0,1,8,3,"(8, 0)"
French Bulldog,0,1,5,2,"(5, 0)"
French Spaniel,0,2,4,1,"(4, 0)"
German Longhaired Pointer,0,2,7,2,"(7, 0)"
